;id;player;player_team;s1;opponent;s2;rating2.0;map;date;event_type;event_tier
0;11893;zywoo;Vitality;10;AVANGAR;16;1.04;d2;2019-05-09;major;S
1;11893;zywoo;Vitality;16;AVANGAR;11;1.63;inf;2019-05-09;major;S
2;11893;zywoo;Vitality;9;AVANGAR;16;0.9;mrg;2019-05-09;major;S
3;11893;zywoo;Vitality;16;MOUZ;10;1.52;mrg;2019-08-31;major;S
4;11893;zywoo;Vitality;16;MOUZ;5;1.44;vtg;2019-08-31;major;S
5;11893;zywoo;Vitality;7;ENCE;16;0.72;d2;2019-08-30;major;S
6;11893;zywoo;Vitality;10;ENCE;16;0.84;nuke;2019-08-30;major;S
7;11893;zywoo;Vitality;16;FaZe;7;1.65;d2;2019-08-29;major;S
8;11893;zywoo;Vitality;16;North;9;1.38;inf;2019-08-28;major;S
9;11893;zywoo;Vitality;7;Ninjas in Pyjamas;16;0.91;mrg;2019-02-24;major;S
10;11893;zywoo;Vitality;16;Ninjas in Pyjamas;8;1.53;ovp;2019-02-24;major;S
11;11893;zywoo;Vitality;7;Ninjas in Pyjamas;16;0.95;cch;2019-02-24;major;S
12;11893;zywoo;Vitality;12;Renegades;16;0.92;inf;2019-02-22;major;S
13;11893;zywoo;Vitality;16;Renegades;11;1.11;cch;2019-02-22;major;S
14;11893;zywoo;Vitality;5;Renegades;16;0.77;d2;2019-02-22;major;S
15;11893;zywoo;Vitality;16;Cloud9;14;1.43;mrg;2019-02-21;major;S
16;11893;zywoo;Vitality;22;Natus Vincere;25;1.05;mrg;2019-02-20;major;S
17;11893;zywoo;Vitality;16;BIG;11;1.64;mrg;2019-02-20;major;S
18;7998;s1mple;Natus Vincere;17;NRG;19;1.23;mrg;2019-06-09;major;S
19;7998;s1mple;Natus Vincere;12;NRG;16;0.88;d2;2019-06-09;major;S
20;7998;s1mple;Natus Vincere;16;CR4ZY;4;1.55;nuke;2019-01-09;major;S
21;7998;s1mple;Natus Vincere;16;CR4ZY;12;1.0;inf;2019-01-09;major;S
22;7998;s1mple;Natus Vincere;11;CR4ZY;16;1.06;mrg;2019-01-09;major;S
23;7998;s1mple;Natus Vincere;16;MIBR;4;1.1;inf;2019-08-31;major;S
24;7998;s1mple;Natus Vincere;16;MIBR;11;1.38;mrg;2019-08-31;major;S
25;7998;s1mple;Natus Vincere;17;MOUZ;19;1.25;nuke;2019-08-30;major;S
26;7998;s1mple;Natus Vincere;16;DreamEaters;7;1.45;ovp;2019-08-29;major;S
27;7998;s1mple;Natus Vincere;17;G2;19;1.17;ovp;2019-08-28;major;S
28;7998;s1mple;Natus Vincere;14;ENCE;16;1.51;mrg;2019-02-03;major;S
29;7998;s1mple;Natus Vincere;16;ENCE;3;1.89;d2;2019-02-03;major;S
30;7998;s1mple;Natus Vincere;14;ENCE;16;1.2;trn;2019-02-03;major;S
31;7998;s1mple;Natus Vincere;16;FaZe;7;1.11;mrg;2019-02-28;major;S
32;7998;s1mple;Natus Vincere;16;FaZe;13;0.86;inf;2019-02-28;major;S
33;7998;s1mple;Natus Vincere;16;AVANGAR;11;1.36;trn;2019-02-22;major;S
34;7998;s1mple;Natus Vincere;16;AVANGAR;6;1.36;d2;2019-02-22;major;S
35;7998;s1mple;Natus Vincere;9;Liquid;16;1.24;d2;2019-02-21;major;S
36;7998;s1mple;Natus Vincere;14;Liquid;16;1.15;mrg;2019-02-21;major;S
37;7998;s1mple;Natus Vincere;25;Vitality;22;1.3;mrg;2019-02-20;major;S
38;7998;s1mple;Natus Vincere;16;G2;7;1.59;inf;2019-02-20;major;S
39;7592;device;Astralis;16;AVANGAR;5;1.97;d2;2019-08-09;major;S
40;7592;device;Astralis;16;AVANGAR;6;1.49;inf;2019-08-09;major;S
41;7592;device;Astralis;16;NRG;9;1.37;ovp;2019-07-09;major;S
42;7592;device;Astralis;16;NRG;10;1.25;trn;2019-07-09;major;S
43;7592;device;Astralis;16;Liquid;13;1.36;ovp;2019-06-09;major;S
44;7592;device;Astralis;16;Liquid;8;1.56;vtg;2019-06-09;major;S
45;7592;device;Astralis;16;CR4ZY;5;1.59;vtg;2019-08-31;major;S
46;7592;device;Astralis;29;CR4ZY;31;1.08;d2;2019-08-31;major;S
47;7592;device;Astralis;16;CR4ZY;11;1.07;inf;2019-08-31;major;S
48;7592;device;Astralis;4;NRG;16;0.46;nuke;2019-08-30;major;S
49;7592;device;Astralis;28;NRG;31;1.05;trn;2019-08-30;major;S
50;7592;device;Astralis;16;G2;7;1.49;nuke;2019-08-29;major;S
51;7592;device;Astralis;16;DreamEaters;9;1.41;d2;2019-08-28;major;S
52;7592;device;Astralis;16;ENCE;4;1.89;inf;2019-03-03;major;S
53;7592;device;Astralis;16;ENCE;11;1.14;trn;2019-03-03;major;S
54;7592;device;Astralis;16;MIBR;7;1.16;inf;2019-02-03;major;S
55;7592;device;Astralis;16;MIBR;14;0.96;ovp;2019-02-03;major;S
56;7592;device;Astralis;16;Ninjas in Pyjamas;14;1.26;d2;2019-01-03;major;S
57;7592;device;Astralis;16;Ninjas in Pyjamas;2;1.46;mrg;2019-01-03;major;S
58;7592;device;Astralis;16;Renegades;2;1.96;inf;2019-02-21;major;S
59;7592;device;Astralis;16;Renegades;9;1.37;nuke;2019-02-21;major;S
60;7592;device;Astralis;17;Renegades;19;1.18;mrg;2019-02-21;major;S
61;7592;device;Astralis;16;Cloud9;0;1.98;trn;2019-02-20;major;S
62;7592;device;Astralis;16;Complexity;6;1.02;nuke;2019-02-20;major;S
63;8918;electronic;Natus Vincere;17;NRG;19;1.03;mrg;2019-06-09;major;S
64;8918;electronic;Natus Vincere;12;NRG;16;0.92;d2;2019-06-09;major;S
65;8918;electronic;Natus Vincere;16;CR4ZY;4;1.66;nuke;2019-01-09;major;S
66;8918;electronic;Natus Vincere;16;CR4ZY;12;1.41;inf;2019-01-09;major;S
67;8918;electronic;Natus Vincere;11;CR4ZY;16;1.21;mrg;2019-01-09;major;S
68;8918;electronic;Natus Vincere;16;MIBR;4;2.31;inf;2019-08-31;major;S
69;8918;electronic;Natus Vincere;16;MIBR;11;1.79;mrg;2019-08-31;major;S
70;8918;electronic;Natus Vincere;17;MOUZ;19;1.4;nuke;2019-08-30;major;S
71;8918;electronic;Natus Vincere;16;DreamEaters;7;1.34;ovp;2019-08-29;major;S
72;8918;electronic;Natus Vincere;17;G2;19;0.81;ovp;2019-08-28;major;S
73;8918;electronic;Natus Vincere;14;ENCE;16;0.83;mrg;2019-02-03;major;S
74;8918;electronic;Natus Vincere;16;ENCE;3;1.66;d2;2019-02-03;major;S
75;8918;electronic;Natus Vincere;14;ENCE;16;0.64;trn;2019-02-03;major;S
76;8918;electronic;Natus Vincere;16;FaZe;7;1.75;mrg;2019-02-28;major;S
77;8918;electronic;Natus Vincere;16;FaZe;13;1.28;inf;2019-02-28;major;S
78;8918;electronic;Natus Vincere;16;AVANGAR;11;1.1;trn;2019-02-22;major;S
79;8918;electronic;Natus Vincere;16;AVANGAR;6;1.2;d2;2019-02-22;major;S
80;8918;electronic;Natus Vincere;9;Liquid;16;0.9;d2;2019-02-21;major;S
81;8918;electronic;Natus Vincere;14;Liquid;16;0.91;mrg;2019-02-21;major;S
