;0;1;2;3;4;teams;date
0;Xyp9x;dupreeh;gla1ve;device;Magisk;Astralis;2019/december/2
1;stanislaw;tarik;Brehze;Ethan;CeRq;Evil Geniuses;2019/december/2
2;nitr0;NAF;EliGE;Stewie2K;Twistzz;Liquid;2019/december/2
3;flusha;JW;KRIMZ;Golden;Brollan;fnatic;2019/december/2
4;jks;AZR;jkaem;Gratisfaction;Liazz;100 Thieves;2019/december/2
5;olofmeister;NiKo;rain;coldzera;broky;FaZe;2019/december/2
6;shox;RpK;apEX;ALEX;ZywOo;Vitality;2019/december/2
7;f0rest;twist;Lekr0;REZ;Plopski;Ninjas in Pyjamas;2019/december/2
8;karrigan;chrisJ;woxic;frozen;ropz;MOUZ;2019/december/2
9;allu;Aerial;suNny;xseveN;sergej;ENCE;2019/december/2
10;AdreN;SANJI;buster;Qikert;Jame;AVANGAR;2019/december/2
11;FalleN;kNgV-;fer;LUCAS1;TACO;MIBR;2019/december/2
12;HEN1;arT;yuurih;VINI;KSCERATO;FURIA;2019/december/2
13;GuardiaN;flamie;s1mple;electroNic;Boombl4;Natus Vincere;2019/december/2
14;JACKZ;huNter-;kennyS;AMANEK;nexa;G2;2019/december/2
15;facecrack;almazer;FL1T;xsepower;Jerry;forZe;2019/december/2
16;Snappi;cadiaN;es3tag;b0RUP;stavn;Heroic;2019/december/2
17;emi;LETN1;ottoNd;SHiPZ;EspiranTo;CR4ZY;2019/december/2
18;HUNDEN;Bubzkji;acoR;sjuush;roeJ;Tricked;2019/december/2
19;Summer;BnTeT;Attacker;somebody;Freeman;TYLOO;2019/december/2
20;Maikelele;zehN;STYKO;kRYSTAL;Maden;GODSENT;2019/december/2
21;cajunb;aizy;Kjaerbye;JUGi;gade;North;2019/december/2
22;Sico;dexter;INS;malta;DickStacy;Grayhound;2019/december/2
23;syrsoN;Spiidi;denis;k1to;faveN;Sprout;2019/december/2
24;Snax;MICHU;snatchie;phr;Vegi;Virtus.pro;2019/december/2
25;tabseN;tiziaN;nex;XANTARES;smooya;BIG;2019/december/2
26;innocent;reatz;oskarish;mono;STOMP;Illuminar;2019/december/2
27;sAw;ZOREE;sLowi;doto;hoody;HAVU;2019/december/2
28;chopper;mir;sdy;iDISBALANCE;magixx;Spirit;2019/december/2
29;FugLy;ANDROID;Nifty;ryann;s0m;Envy;2019/december/2
0;Xyp9x;dupreeh;gla1ve;device;Magisk;Astralis;2019/december/9
1;flusha;JW;KRIMZ;Golden;Brollan;fnatic;2019/december/9
2;stanislaw;tarik;Brehze;Ethan;CeRq;Evil Geniuses;2019/december/9
3;nitr0;NAF;EliGE;Stewie2K;Twistzz;Liquid;2019/december/9
4;karrigan;chrisJ;woxic;frozen;ropz;MOUZ;2019/december/9
5;jks;AZR;jkaem;Gratisfaction;Liazz;100 Thieves;2019/december/9
6;olofmeister;NiKo;rain;coldzera;broky;FaZe;2019/december/9
7;shox;RpK;apEX;ALEX;ZywOo;Vitality;2019/december/9
8;GuardiaN;flamie;s1mple;electroNic;Boombl4;Natus Vincere;2019/december/9
9;f0rest;twist;Lekr0;REZ;Plopski;Ninjas in Pyjamas;2019/december/9
10;FalleN;kNgV-;fer;LUCAS1;TACO;MIBR;2019/december/9
11;allu;Aerial;suNny;xseveN;sergej;ENCE;2019/december/9
12;HEN1;arT;yuurih;VINI;KSCERATO;FURIA;2019/december/9
13;JACKZ;huNter-;kennyS;AMANEK;nexa;G2;2019/december/9
14;AdreN;SANJI;buster;Qikert;Jame;AVANGAR;2019/december/9
15;facecrack;almazer;FL1T;xsepower;Jerry;forZe;2019/december/9
16;Snappi;cadiaN;es3tag;b0RUP;stavn;Heroic;2019/december/9
17;emi;LETN1;ottoNd;SHiPZ;EspiranTo;CR4ZY;2019/december/9
18;Sonic;JT;floppy;motm;oSee;ATK;2019/december/9
19;HUNDEN;Bubzkji;acoR;sjuush;roeJ;Tricked;2019/december/9
20;Summer;BnTeT;Attacker;somebody;Freeman;TYLOO;2019/december/9
21;Sico;dexter;INS;malta;DickStacy;Renegades;2019/december/9
22;Maikelele;zehN;STYKO;kRYSTAL;Maden;GODSENT;2019/december/9
23;cajunb;aizy;Kjaerbye;JUGi;gade;North;2019/december/9
24;syrsoN;Spiidi;denis;k1to;faveN;Sprout;2019/december/9
25;Snax;MICHU;snatchie;phr;Vegi;Virtus.pro;2019/december/9
26;innocent;reatz;oskarish;mono;STOMP;Illuminar;2019/december/9
27;sAw;ZOREE;sLowi;doto;hoody;HAVU;2019/december/9
28;tabseN;tiziaN;nex;XANTARES;smooya;BIG;2019/december/9
29;exit;leo_drk;jnt;meyern;Luken;Sharks;2019/december/9
0;Xyp9x;dupreeh;gla1ve;device;Magisk;Astralis;2019/december/16
1;flusha;JW;KRIMZ;Golden;Brollan;fnatic;2019/december/16
2;nitr0;NAF;EliGE;Stewie2K;Twistzz;Liquid;2019/december/16
3;karrigan;chrisJ;woxic;frozen;ropz;MOUZ;2019/december/16
4;stanislaw;tarik;Brehze;Ethan;CeRq;Evil Geniuses;2019/december/16
5;jks;AZR;jkaem;Gratisfaction;Liazz;100 Thieves;2019/december/16
6;olofmeister;NiKo;rain;coldzera;broky;FaZe;2019/december/16
7;shox;RpK;apEX;ALEX;ZywOo;Vitality;2019/december/16
8;f0rest;twist;Lekr0;REZ;Plopski;Ninjas in Pyjamas;2019/december/16
9;GuardiaN;flamie;s1mple;electroNic;Boombl4;Natus Vincere;2019/december/16
10;JACKZ;huNter-;kennyS;AMANEK;nexa;G2;2019/december/16
11;allu;Aerial;suNny;xseveN;sergej;ENCE;2019/december/16
12;HEN1;arT;yuurih;VINI;KSCERATO;FURIA;2019/december/16
13;FalleN;kNgV-;fer;TACO;meyern;MIBR;2019/december/16
14;AdreN;SANJI;buster;Qikert;Jame;Virtus.pro;2019/december/16
15;facecrack;almazer;FL1T;xsepower;Jerry;forZe;2019/december/16
16;Sonic;JT;floppy;motm;oSee;ATK;2019/december/16
17;HUNDEN;Bubzkji;acoR;sjuush;roeJ;MAD Lions;2019/december/16
18;cajunb;aizy;Kjaerbye;JUGi;gade;North;2019/december/16
19;emi;LETN1;ottoNd;SHiPZ;EspiranTo;CR4ZY;2019/december/16
20;Snappi;cadiaN;es3tag;b0RUP;stavn;Heroic;2019/december/16
21;Summer;BnTeT;Attacker;somebody;Freeman;TYLOO;2019/december/16
22;Maikelele;zehN;STYKO;kRYSTAL;Maden;GODSENT;2019/december/16
23;Sico;dexter;INS;malta;DickStacy;Renegades;2019/december/16
24;Snax;MICHU;snatchie;phr;Vegi;ex-Virtus.pro;2019/december/16
25;syrsoN;Spiidi;denis;k1to;faveN;Sprout;2019/december/16
26;NBK-;valde;Aleksib;ISSAA;mantuu;OG;2019/december/16
27;innocent;reatz;oskarish;mono;STOMP;Illuminar;2019/december/16
28;chopper;mir;sdy;iDISBALANCE;magixx;Spirit;2019/december/16
29;loWel;EasTor;steel;alex;mopoz;Movistar Riders;2019/december/16
0;Xyp9x;dupreeh;gla1ve;device;Magisk;Astralis;2019/december/23
1;karrigan;chrisJ;woxic;frozen;ropz;MOUZ;2019/december/23
2;flusha;JW;KRIMZ;Golden;Brollan;fnatic;2019/december/23
3;nitr0;NAF;EliGE;Stewie2K;Twistzz;Liquid;2019/december/23
4;stanislaw;tarik;Brehze;Ethan;CeRq;Evil Geniuses;2019/december/23
5;shox;RpK;apEX;ALEX;ZywOo;Vitality;2019/december/23
6;jks;AZR;jkaem;Gratisfaction;Liazz;100 Thieves;2019/december/23
7;olofmeister;NiKo;rain;coldzera;broky;FaZe;2019/december/23
8;GuardiaN;flamie;s1mple;electroNic;Boombl4;Natus Vincere;2019/december/23
9;f0rest;twist;Lekr0;REZ;Plopski;Ninjas in Pyjamas;2019/december/23
10;JACKZ;huNter-;kennyS;AMANEK;nexa;G2;2019/december/23
11;allu;Aerial;suNny;xseveN;sergej;ENCE;2019/december/23
12;facecrack;almazer;FL1T;xsepower;Jerry;forZe;2019/december/23
13;FalleN;kNgV-;fer;TACO;meyern;MIBR;2019/december/23
14;HEN1;arT;yuurih;VINI;KSCERATO;FURIA;2019/december/23
15;Snappi;cadiaN;es3tag;b0RUP;stavn;Heroic;2019/december/23
16;AdreN;SANJI;buster;Qikert;Jame;Virtus.pro;2019/december/23
17;Sonic;JT;floppy;motm;oSee;ATK;2019/december/23
18;cajunb;aizy;Kjaerbye;JUGi;gade;North;2019/december/23
19;emi;LETN1;ottoNd;SHiPZ;EspiranTo;CR4ZY;2019/december/23
20;HUNDEN;Bubzkji;acoR;sjuush;roeJ;MAD Lions;2019/december/23
21;Maikelele;zehN;STYKO;kRYSTAL;Maden;GODSENT;2019/december/23
22;Summer;Attacker;somebody;Freeman;;TYLOO;2019/december/23
